solarialmp4,solarialmp4,Low-Key-G-Mazing,,,1700241055478,[Gen 7] IF Dex OU,solarialmp4-lowkeygmazing-1700241055477,daa7beba3b5a47f888a2769964d3d891
ItsEmily,2fort troll,ItsEmily,,,1700241827749,[Gen 9] IF NatDex AG,2forttroll-itsemily-1700241827748,472f81d7240b93460757f1b073304623
surpraishd,surpraishd,scrapsorra,,,1700244011612,[Gen 7] IF Dex OU,surpraishd-scrapsorra-1700244011612,f74616b4fb95fe6c3060742ca7a6d1ef
Guest 6008,Josephgaming_99,GhostSushi2,,,1700244416856,[Gen 7] IF Dex AG,josephgaming99-ghostsushi2-1700244416855,721e92c614366522e462c2a1d5126d4b
surpraishd,surpraishd,modrift63,,,1700244646510,[Gen 7] IF Dex OU,surpraishd-modrift63-1700244646510,55bc3d884569333395362954e27df209
DynaTheCryo,DynaTheCryo,Das Psycho,,,1700244903459,[Gen 7] IF Dex OU,dynathecryo-daspsycho-1700244903459,5903550dbd6aef2eaa6dfeaf8730285c
DocHoliray,modrift63,DocHoliray,,,1700247038172,[Gen 7] IF Dex OU,modrift63-docholiray-1700247038171,dbeecbe43cd1c0e92f251f5c6b5b0e3c
Meepbiscuit,besure-is-here,Meepbiscuit,,,1700247408937,[Gen 7] IF Dex OU,besureishere-meepbiscuit-1700247408936,6d85fb101d68850a8d55d35ba6912dc9
waflare,mZomber,waflare,,,1700247747865,[Gen 7] IF Dex AG,mzomber-waflare-1700247747864,62df7ac44f5a26316e8e12e55038f60f
surpraishd,Zetious,surpraishd,,,1700248425249,[Gen 7] IF Dex OU,zetious-surpraishd-1700248425249,70a0b432c502717d3c4141eb429fbec2
B_Megamaths,HiveMindJester,B_Megamaths,,,1700248658828,[Gen 9] IF NatDex AG,hivemindjester-bmegamaths-1700248658828,eb1c1aa9e50fcdff0fe67438a7f163b8
CookieGlob,nani72,CookieGlob,,,1700248835645,[Gen 9] IF NatDex OU,nani72-cookieglob-1700248835645,5696cdc1c76dd5915a8f177e4420e03e
Meepbiscuit,modrift63,Meepbiscuit,,,1700248981118,[Gen 7] IF Dex OU,modrift63-meepbiscuit-1700248981117,8aa255e74cbaf3985b7ff17357811d14
waflare,waflare,eambplsl,,,1700249066243,[Gen 7] IF Dex AG,waflare-eambplsl-1700249066243,0f3e163aad89ef3353d2d9d84657347e
CookieGlob,nani72,CookieGlob,,,1700249374845,[Gen 9] IF NatDex OU,nani72-cookieglob-1700249374844,5c2cb5bfda1cc29f980465380c2d33d3
surpraishd,surpraishd,Bluebonz,,,1700249666764,[Gen 7] IF Dex OU,surpraishd-bluebonz-1700249666763,90ca0aed63eed27c4ef6e29937d8bcd4
CookieGlob,nani72,CookieGlob,,,1700250251105,[Gen 9] IF NatDex OU,nani72-cookieglob-1700250251105,8283df67636c75a8535f601c9603b27d
Panda030,Panda030,Terminatphilippe,,,1700251041481,[Gen 7] IF Dex AG,panda030-terminatphilippe-1700251041480,aea12d344d7c647f526f6f41f082145d
TotalSylv,Totally Badonkers,TotalSylv,,,1700253091495,[Gen 7] IF Dex AG,totallybadonkers-totalsylv-1700253091495,a735ac3e4736d995234e9a97dfae51dc
BandageBlades,BandageBlades,DynaTheCryo,,,1700253382378,[Gen 7] IF Dex OU,bandageblades-dynathecryo-1700253382377,1dd05bb59223657193e46b7dfd7d4779
DynaTheCryo,DynaTheCryo,Nylah Kuro,,,1700254063716,[Gen 7] IF Dex OU,dynathecryo-nylahkuro-1700254063715,915b2b73864d45f7fcba6a37d881adb6
axl(malxire),axl(malxire),Terminatphilippe,,,1700254357698,[Gen 7] IF Dex AG,axlmalxire-terminatphilippe-1700254357698,2e68ef0045949a60655ad3e75fb33639
Terminatphilippe,Terminatphilippe,kholdstare03,,,1700254378079,[Gen 7] IF Dex AG,terminatphilippe-kholdstare03-1700254378078,f2dae5e3545060b2c2664a6f50a7b622
TotalSylv,Totally Badonkers,TotalSylv,,,1700254901079,[Gen 7] IF Dex AG,totallybadonkers-totalsylv-1700254901078,8950a04622737be160ea15a2c17ec222
TheLigmaConspiracy,The Real Ignite,TheLigmaConspiracy,,,1700256648464,[Gen 7] IF Dex OU,therealignite-theligmaconspiracy-1700256648464,8d948a8a72bc61118f38f9786cd89aec
Augodyne,Augodyne,TheusinEX,,,1700257101986,[Gen 7] IF Dex OU,augodyne-theusinex-1700257101986,91b96f21063db9e7d53b87980f593063
ItsEmily,Therealcave,ItsEmily,,,1700257180420,[Gen 9] IF NatDex AG,therealcave-itsemily-1700257180419,106977edea4b98747aa4306ac551fd79
supersaiyanmekhi,supersaiyanmekhi,Ramarachu,,,1700257831812,[Gen 9] IF Custom Game,supersaiyanmekhi-ramarachu-1700257831811,20729b881145210777ee6250cac390bf
PizzaTowerEpic,PizzaTowerEpic,antiGuide,,,1700258464404,[Gen 9] IF NatDex AG,pizzatowerepic-antiguide-1700258464403,f219d831e59e45f5eed2027f694a8e71
eambplsl,boulettelegends,eambplsl,,,1700259428066,[Gen 7] IF Dex AG,boulettelegends-eambplsl-1700259428065,4a2fe70c2414765812808dd5a269ec9a
Josephgaming_99,C0PP3RHEAD,Josephgaming_99,,,1700259586785,[Gen 7] IF Dex AG,c0pp3rhead-josephgaming99-1700259586784,e40da76af65791d2e5883593f480e482
PizzaTowerEpic,solarialmp4,PizzaTowerEpic,,,1700260209442,[Gen 9] IF NatDex AG,solarialmp4-pizzatowerepic-1700260209442,f29d050c24aa9a26f24bbae432fabca9
PizzaTowerEpic,PizzaTowerEpic,Therealcave,,,1700260859303,[Gen 9] IF NatDex AG,pizzatowerepic-therealcave-1700260859302,3c6e64606c6c69fedd90880d918d8741
